"","Language","Model","Type","Direction","Group","Surp","FullSurp","UAS","Pars","Efficiency"
"1","Afrikaans",2869394950,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",6.25948639901809,8.80534100830492,0.852745424293,0.745429028067335,6.37896678718362
"2","Afrikaans",1658885477,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",6.44226702547993,8.97166004791486,0.865848585691,0.683818720243933,6.48185904317587
"3","Ancient_Greek",542477161,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP4",7.33584606858624,10.4451484441536,0.780421461665,1.01347859397168,7.61574005569929
"4","Ancient_Greek",2464717213,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP3",7.21725389288484,10.2694616046455,0.834763114632,0.91312782225668,7.40865632585303
"5","Arabic",6427878818,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",6.94284149204,10.1014043556609,0.82147481514,0.886168678169984,7.13472602100598
"6","Arabic",9788252482,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP3",6.95421055663245,9.90329383318714,0.815278922193,0.877445657760545,7.13623515872975
"7","Basque",657083143,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",8.24139853678464,8.24141816403747,0.76649618933,1.13990070190575,8.55715938501192
"8","Basque",6601537573,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",8.23943352591181,8.23945296659878,0.791265543522,1.08036791676386,8.49585809008448
"9","Belarusian",7359258414,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP3",8.88720730627058,11.2145190251086,0.677394034537,1.70640620855933,9.70489278420286
"10","Belarusian",1452304414,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",8.85100202480284,11.0353853049398,0.691522762951,1.65299949092057,9.61890131324312
"11","Bulgarian",1170573905,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",7.18886280656164,10.3981364927734,0.88135348131,0.543272135409588,7.01324866131507
"12","Bulgarian",6688858397,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP4",7.19338391737127,10.365802057466,0.891475670595,0.510678506334505,6.98472403196865
"13","Catalan",7875549067,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",5.82490431929381,7.3460486528092,0.862371457728,0.579467035780892,5.82188092314532
"14","Catalan",5306277338,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",5.78519737175072,7.32040718256982,0.87006436926,0.54952149398567,5.75619912856132
"15","Chinese",4863208342,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",7.71328048600967,9.68145719340791,0.772359963269,1.2305317207473,8.172484158156
"16","Chinese",2045095097,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",7.72077719458097,9.63305283363419,0.781818181818,1.20579535448847,8.15449482961134
"17","Coptic",2061526880,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",4.88800387123234,6.58762663306919,0.811710677382,0.9534929217482,5.35269640585731
"18","Coptic",6041088033,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",4.87762219436879,6.45789539575296,0.832376578645,0.93075535354877,5.32061532848068
"19","Croatian",8107510327,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",7.85221590972539,7.85223636224205,0.827722312515,0.837487891163031,7.90448220991588
"20","Croatian",3321068676,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",7.73341512432797,7.73343164582581,0.81433325594,0.868104558012801,7.82817816990797
"21","Czech",9341244952,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP3",6.86668902528619,10.5728534141854,0.861110601642,0.616253781974513,6.79627390473208
"22","Czech",2331880029,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",6.97760291320435,10.6418474308484,0.84606496341,0.653338762929778,6.9331813848137
"23","Danish",3243028224,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",7.17439411581734,7.17442416989454,0.834357198704,0.771791355897232,7.22874606013284
"24","Danish",5500305980,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",7.11045935772881,7.11048269745459,0.846420194348,0.698054054030277,7.0974674759862
"25","Dutch",5266995269,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",6.73312922283812,9.27452192703988,0.859414225941,0.672564750429726,6.73238105098403
"26","Dutch",6955889391,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",6.70286377701785,9.13026196755707,0.859937238494,0.693477726699667,6.72605512601573
"27","English",4910096554,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",6.48144897667994,8.81091740516866,0.867470793506,0.687300044347458,6.5206041233594
"28","English",6448967977,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP4",6.47687575710156,8.63828044715892,0.876068376068,0.673049672320466,6.50223785371187
"29","Estonian",1640027993,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",8.41765054782186,10.1027132066293,0.812263176025,0.889094878473598,8.46498037151327
"30","Estonian",453495948,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",8.27679125084603,9.97020833480724,0.81961189574,0.921407934937415,8.37052006069884
"31","Finnish",2319061700,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP4",7.93734178867087,10.6269527482608,0.812132000548,0.895569402104728,8.03917701190851
"32","Finnish",3529350779,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP3",7.89647038729616,10.5855677448263,0.804635081473,0.923658273541795,8.03048162210834
"33","French",1804798267,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",5.69151706043039,5.73957242932956,0.883981805099,0.554496826906104,5.67686218129345
"34","French",6912153951,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP4",5.70373158294353,5.75417751545608,0.882953844572,0.55411462332191,5.68747304797109
"35","Galician",845646266,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP3",6.11287282482769,8.78943545044373,0.812113890338,1.03464190003075,6.53622744237567
"36","Galician",8753749998,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",6.13880849198145,8.76479279338055,0.830811894237,0.9909627964363,6.5158904392196
"37","German",7233494255,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",7.05101316741454,9.14761443016778,0.872751002144,0.597670919449318,6.94358277012241
"38","German",3150957569,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP3",7.05154200415909,9.05904818659181,0.877039246761,0.579370095738274,6.92575789948146
"39","Gothic",6737090998,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",6.77918045442651,8.79285942421414,0.786929009294,1.0810422301646,7.18230463914846
"40","Gothic",4762537530,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP4",6.78525262768709,8.82578739105932,0.818172829741,1.02978792889731,7.13651529381569
"41","Greek",2209324319,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",6.95577586798468,8.60633532843764,0.85293492131,0.748061899845268,7.00826018103148
"42","Greek",9770309800,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",7.03748579533336,8.68078727575983,0.820182900893,0.816271632795687,7.15000884859571
"43","Hebrew",5764264925,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",6.57544349559099,8.2674585255493,0.837977193852,0.814898596285119,6.73279774231701
"44","Hebrew",643621124,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",6.57150652297341,8.17680714819442,0.837382250868,0.846059021881209,6.76041489255728
"45","Hindi",612057196,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP3",5.6713522818984,7.084907608303,0.882745181622,0.506675896351896,5.61089295006046
"46","Hindi",2868111645,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP3",5.67639749216669,7.17986548681014,0.886855646561,0.503768290869194,5.61252603381922
"47","Hungarian",5786187046,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",8.57302457350428,8.57306962149265,0.75343289566,1.16135998678862,8.87708210294247
"48","Hungarian",9615205925,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP3",8.56529845946384,8.56535159321206,0.768868397314,1.13711685425559,8.84588546777304
"49","Indonesian",3375856929,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",7.78064949403485,7.78067181415389,0.817472992015,0.97511465306459,7.97769919769596
"50","Indonesian",4418369424,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",7.79441826287188,7.79443446812636,0.825551902302,0.96990716845959,7.98488360504428
"51","Irish",4619624644,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",8.02811148047781,10.605092446784,0.588437638704,2.3789980972919,9.60429842972193
"52","Irish",6195122992,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",7.93505012978401,10.5679466112384,0.513537505548,2.5512086109114,9.692753727717
"53","Italian",3185031035,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",6.37909407471535,8.16429191997783,0.880534269902,0.589936147092276,6.33112081433609
"54","Italian",9363890371,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",6.37741080011495,8.21834848200123,0.878246062154,0.577688516508954,6.31735823661241
"55","Japanese",1461148279,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",6.15579571522845,6.15581015881238,0.87592503604,0.665406397189847,6.20562254089546
"56","Japanese",313937142,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",6.19234125055677,6.19235570044286,0.873041806824,0.649224751984368,6.22233187748546
"57","Korean",8621284411,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",7.58805435525767,11.6867565579758,0.718940502317,1.63574136442976,8.46499028416167
"58","Korean",7169100329,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",7.6157150810286,11.4795583413251,0.6620641307,1.68557506429076,8.5397186372165
"59","Latin",8298287341,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",7.63100969722867,11.4383529409876,0.772536933436,1.22925461651648,8.09716334402228
"60","Latin",1542884737,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP4",7.55333752127409,11.2348642209449,0.821848514288,1.18591596312605,7.98391973227273
"61","Latvian",3902501904,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP3",8.52226880858559,13.3937801139826,0.717433570966,1.45214785735769,9.12218978508472
"62","Latvian",2453933183,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",8.54607859408287,13.4078407196674,0.744838440885,1.38083434921648,9.07230508389106
"63","Lithuanian",257509430,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",9.25082755782059,11.762476751084,0.542468856172,2.28796373326268,10.6137085353012
"64","Lithuanian",5160005496,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP4",9.22601615004803,11.7964924136598,0.592298980747,2.09446263448298,10.3978771695262
"65","Marathi",5529731670,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",6.8978090505131,6.89790725708008,0.739766081871,1.46120158691852,7.66922973238031
"66","Marathi",3114572312,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP3",7.17587359643752,7.1760070923836,0.77485380117,1.32226082595468,7.78054706274845
"67","Norwegian",7046681945,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",6.7367324232504,6.73673809321469,0.881978382337,0.620001047735321,6.68306022866069
"68","Norwegian",4098986604,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",6.68257662672882,6.68258273297232,0.883793119916,0.620176886483057,6.634495850539
"69","Old_Church_Slavonic",4613178219,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",6.7020432976748,8.64855834024582,0.827623762376,0.950379569341641,6.98221853724896
"70","Old_Church_Slavonic",3901401544,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",6.76796439259225,8.70049384888336,0.845148514851,0.923824102359243,7.01499205569227
"71","Persian",5136961867,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",6.85036736154041,8.56390543862904,0.868711995578,0.703324539307865,6.86865516469424
"72","Persian",1681609021,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",6.89281544373577,8.63681282135957,0.872996130459,0.70836157176691,6.9118954711291
"73","Polish",5790044463,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP4",8.12693952050739,11.8262463248317,0.884467713787,0.493548827839841,7.80779439629649
"74","Polish",6951943963,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",8.20225830453473,11.8484396000049,0.859104130308,0.567326520181382,7.94935899426264
"75","Portuguese",5008733344,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP4",6.05522681497993,8.06467919858659,0.888683837492,0.560320252336169,6.0100243858181
"76","Portuguese",5245130517,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",6.08392984602016,8.06596333017232,0.880312391345,0.563985586177541,6.03952244759569
"77","Romanian",4119230459,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP4",7.05100396184918,10.1371754048768,0.816542162999,0.979984258007286,7.32588782367155
"78","Romanian",576616091,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP3",7.17356907530936,10.2296077072781,0.814725082442,0.934185341827898,7.39039750960632
"79","Russian",1654461679,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP3",7.21586398393385,7.41244878317816,0.805128642987,0.935220425575576,7.42949801111604
"80","Russian",5457228368,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",7.15041399246435,7.35169419664534,0.816778612629,0.898804412037219,7.33417700525514
"81","Serbian",7392364811,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",7.60731362052586,7.60734149924132,0.829575070822,0.892240675488545,7.73882293396182
"82","Serbian",8779005273,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP4",7.57996537589874,7.57998789637182,0.831841359773,0.846514320346519,7.66848315865539
"83","Slovak",8768895670,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",8.86101083007425,12.9997520089317,0.848473461719,0.680527558540615,8.65543730560744
"84","Slovak",7284773621,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",8.92233775664294,13.0210496084519,0.826585251292,0.775552640436064,8.80565662141471
"85","Slovenian",1131642226,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",7.25899090023801,11.0118712991295,0.835685715599,0.814492200183943,7.34758401039815
"86","Slovenian",25393398,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",7.36013527973207,11.0964467784595,0.805710082295,0.91974927833352,7.54387103009238
"87","Spanish",3508122133,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",6.01536261717203,6.93389246952235,0.8588593521,0.674421844731442,6.08824820018627
"88","Spanish",6766058353,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",6.03045221687409,6.93980295464974,0.866629605296,0.636855751077015,6.06426274626369
"89","Swedish",5945751659,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP3",6.81259556379663,9.57350883262413,0.810159860917,0.893475055815897,7.02481106323287
"90","Swedish",7609961975,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",6.76170121235234,9.39921038401407,0.845269897808,0.813705678502097,6.8992367696192
"91","Tamil",4192998455,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",9.05324371726867,12.9128835333481,0.644901610018,1.89441577351797,10.0423351190598
"92","Tamil",8711707313,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",9.02653053024374,12.6685211099751,0.660107334526,1.73413970048184,9.85801717770121
"93","Telugu",3951998013,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP4",7.80560544479725,9.46625770154849,0.872832369942,0.867785878264146,7.89283077858167
"94","Telugu",6994226783,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",7.69563444007948,9.26566049890611,0.870905587669,0.882538609881392,7.80860960595292
"95","Turkish",1035393965,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP4",9.04585570957869,11.2646769706655,0.579931557077,1.92620346734705,10.0674736059679
"96","Turkish",8151228474,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",8.94936555349812,11.0878169510784,0.660229772672,1.80632903834655,9.86075803649486
"97","Ukrainian",7364747851,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",8.77322630327534,12.789356712608,0.798067748092,1.0283908042488,8.9242944771966
"98","Ukrainian",6204132549,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",8.85981019175314,12.8218129790894,0.815839694656,0.946013635920204,8.91984280849803
"99","Urdu",6465959954,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP3",5.88795575448964,7.41914512727379,0.850389161142,0.737936102869738,6.03709628191041
"100","Urdu",1945516561,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP4",5.90455107576216,7.56698850811049,0.838642260017,0.787357817503038,6.10145378568898
"101","Vietnamese",9864186953,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP4",7.53437627146262,9.48704516944471,0.696745412146,1.40756383602607,8.18850248034242
"102","Vietnamese",1171173532,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP4",7.55578182092439,9.59477246447024,0.744702423198,1.2524917397165,8.05269537854845
